Isolate_Id,Isolate_Name
EPI_ISL_19640523,A/mallard/Minnesota/MN20-225C_T1/2020
EPI_ISL_16190849,A/Great_Black-Backed_Gull/NL/OTH-0114
EPI_ISL_19145128,A/Mixed/NL/FAV-0035-2/2021
EPI_ISL_19145129,A/Mixed/NL/FAV-0035-3/2021
EPI_ISL_19145130,A/Mixed/NL/FAV-0035-4/2021
EPI_ISL_19145131,A/Mixed/NL/FAV-0035-5/2021
EPI_ISL_19145132,A/Mixed/NL/FAV-0035-13/2021
EPI_ISL_19145133,A/Mixed/NL/FAV-0035-14/2021
EPI_ISL_19145134,A/Mixed/NL/FAV-0035-15/2021
EPI_ISL_19145135,A/Mixed/NL/FAV-0035-16/2021
EPI_ISL_12968592,A/Fancy_chicken/NL/FAV-0035/2021
EPI_ISL_12968593,A/domestic_goose/NL/FAV-0035-17/2021
EPI_ISL_12968817,A/emu/NL/FAV-0035-12/2021
EPI_ISL_12968823,A/chicken/NL/FAV-0033/2021
EPI_ISL_19145136,A/American_Black_Duck/NL/OTH-0004-14/2021
EPI_ISL_19145137,A/American_Black_Duck/NL/OTH-0004-16/2021
EPI_ISL_9869760,A/American_wigeon/South_Carolina/AH0195145/2021
EPI_ISL_9876777,A/American_blue-winged_teal/South_Carolina/AH0195150/2021
EPI_ISL_18133029,A/American_Wigeon/South_Carolina/22-000345-001/2021
EPI_ISL_18133416,A/Blue-winged_Teal/South_Carolina/USDA-000345-003/2021
EPI_ISL_19145138,A/Mixed/NL/FAV-0004-3/2022
EPI_ISL_19145139,A/Mixed/NL/FAV-0004-4/2022
EPI_ISL_19145140,A/Mixed/NL/FAV-0004-5/2022
EPI_ISL_19145141,A/Mixed/NL/FAV-0004-7/2022
EPI_ISL_19145142,A/Mixed/NL/FAV-0004-12/2022
EPI_ISL_19145143,A/Mixed/NL/FAV-0004-14/2022
EPI_ISL_19145144,A/Mixed/NL/FAV-0004-16/2022
EPI_ISL_18133023,A/American_Wigeon/South_Carolina/USDA-001743-014/2022
EPI_ISL_18133026,A/American_Wigeon/South_Carolina/USDA-001743-011/2022
EPI_ISL_18133413,A/duck/South_Carolina/USDA-001743-033/2022
EPI_ISL_18133425,A/Gadwall/South_Carolina/USDA-001743-004/2022
EPI_ISL_18133429,A/Gadwall/South_Carolina/USDA-001743-003/2022
EPI_ISL_18133433,A/Gadwall/South_Carolina/USDA-001743-002/2022
EPI_ISL_18133526,A/Gadwall/South_Carolina/USDA-001743-008/2022
EPI_ISL_18133528,A/Gadwall/South_Carolina/USDA-001743-007/2022
EPI_ISL_9880015,A/American_wigeon/North_Carolina/AH0182517/2022
EPI_ISL_9880019,A/mallard/North_Carolina/AH0182886/2022
EPI_ISL_9880021,A/northern_pintail/North_Carolina/AH0182892/2022
EPI_ISL_9880151,A/gadwall/North_Carolina/AH0182894/2022
EPI_ISL_9880152,A/northern_shoveler/North_Carolina/AH0182913/2022
EPI_ISL_9880153,A/American_wigeon/North_Carolina/AH0182954/2022
EPI_ISL_18132366,A/Northern_Shoveler/North_Carolina/USDA-001330-016/2022
EPI_ISL_18132373,A/Northern_Pintail/North_Carolina/USDA-001330-008/2022
EPI_ISL_18133017,A/American_Wigeon/North_Carolina/USDA-001330-025/2022
EPI_ISL_18133021,A/American_Wigeon/North_Carolina/USDA-001330-024/2022
EPI_ISL_18133024,A/American_Wigeon/North_Carolina/USDA-001330-023/2022
EPI_ISL_18133039,A/American_Wigeon/North_Carolina/USDA-001672-009/2022
EPI_ISL_18133043,A/American_Wigeon/North_Carolina/USDA-001672-005/2022
EPI_ISL_18133047,A/American_Wigeon/North_Carolina/USDA-001672-001/2022
