Isolate_Id,Isolate_Name
EPI_ISL_89592,A/Boston/25/2009
EPI_ISL_87196,A/Boston/27/2009
EPI_ISL_87240,A/Boston/92/2009
EPI_ISL_144622,A/Mexico/24042/2009
EPI_ISL_87195,A/Boston/26/2009
EPI_ISL_144607,A/Mexico/24020/2009
EPI_ISL_144606,A/Mexico/24019/2009
EPI_ISL_87202,A/Boston/28/2009
EPI_ISL_87239,A/Boston/91/2009
EPI_ISL_89596,A/Boston/54/2009
EPI_ISL_87206,A/Boston/35/2009
EPI_ISL_87238,A/Boston/89/2009
EPI_ISL_150391,A/Texas/88/2009
EPI_ISL_87205,A/Boston/33/2009
EPI_ISL_87207,A/Boston/36/2009
EPI_ISL_87208,A/Boston/37/2009
EPI_ISL_87209,A/Boston/38/2009
EPI_ISL_160976,A/New York/1177/2009
EPI_ISL_33699,A/Massachusetts/05/2009
EPI_ISL_61874,A/Idaho/01/2009
EPI_ISL_87210,A/Boston/39/2009
EPI_ISL_87220,A/Boston/58/2009
EPI_ISL_144596,A/Mexico/24006/2009
EPI_ISL_87212,A/Boston/41/2009
EPI_ISL_89598,A/Boston/61/2009
EPI_ISL_89597,A/Boston/59/2009
EPI_ISL_87221,A/Boston/60/2009
EPI_ISL_99240,A/Oklahoma/WRAIR1110P/2009
EPI_ISL_99239,A/Texas/WRAIR1115P/2009
EPI_ISL_99234,A/Illinois/WRAIR1233P/2009
